FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	936	737	606	1196	501	260	273	281
Fo	54.67	53.84	78.85	75.98	74.24	55.47	62.94	59.58
Fo_gauss	54.67	53.84	78.85	75.98	74.24	55.47	62.94	59.58
Fo_median	41.79	40.71	61.89	60.90	57.77	40.98	47.30	44.84
Fm	446.13	451.24	573.73	575.56	551.59	453.60	500.12	475.89
Fv	391.46	397.40	494.87	499.58	477.35	398.13	437.19	416.31
Fp	486.56	489.72	604.19	616.24	583.00	479.82	521.78	494.77
Fp-median	435.09	436.88	538.95	557.33	517.62	425.54	467.19	442.81
Fp-gauss	624.94	631.51	754.39	756.07	736.51	621.90	652.70	635.11
Fp-average	536.70	541.01	664.00	669.15	644.66	536.70	574.53	553.50
Fm_L1	384.10	398.81	488.66	503.12	454.69	397.73	456.14	421.38
Fm_L2	275.13	318.10	343.63	365.43	315.37	279.79	329.63	304.17
Fm_L3	233.32	267.85	283.72	316.49	275.88	235.27	260.54	256.50
Fm_L4	202.48	234.89	249.40	282.59	235.00	207.75	226.87	223.22
Fm_Lss	188.78	222.66	228.84	265.40	214.98	193.79	214.40	206.72
Fm_D1	347.98	335.15	436.94	442.14	423.12	347.70	398.74	370.90
Fm_D2	364.73	359.15	454.66	463.28	442.95	367.00	423.45	389.45
Fm_D3	361.78	363.67	454.57	466.04	440.51	367.17	423.94	391.65
Ft_L1	394.10	403.90	505.35	509.62	474.05	395.70	447.82	419.56
Ft_L2	272.58	323.20	348.18	363.70	315.94	283.46	336.73	311.62
Ft_L3	233.79	265.41	279.37	311.04	270.89	235.18	266.81	253.25
Ft_L4	202.55	231.88	245.41	273.16	233.41	203.93	223.17	221.50
Ft_Lss	189.03	218.38	224.58	260.11	215.36	199.04	209.14	210.36
Ft_D1	64.57	67.33	92.12	89.01	89.34	65.91	77.59	73.32
Ft_D2	66.24	69.01	89.25	93.07	86.63	71.31	78.97	72.56
Ft_D3	65.86	67.76	87.34	90.92	87.49	66.15	75.29	70.07
Fo_L1	53.48	52.96	77.00	74.49	72.11	54.44	62.19	58.62
Fo_L2	50.47	51.09	71.83	70.34	67.04	51.24	58.86	55.33
Fo_L3	48.72	49.48	68.69	68.21	65.04	49.46	55.96	53.44
Fo_L4	47.04	48.13	66.33	66.40	62.17	47.82	54.21	51.62
Fo_Lss	46.25	47.52	64.75	65.27	60.58	46.98	53.33	50.73
Fo_D1	52.68	51.57	75.48	72.89	71.13	53.33	60.87	57.40
Fo_D2	53.08	52.17	76.03	73.51	71.73	53.79	61.44	57.92
Fo_D3	53.03	52.25	76.02	73.57	71.70	53.75	61.49	57.94
Fv_L1	330.62	345.85	411.66	428.63	382.58	343.28	393.96	362.76
Fv_L2	224.66	267.01	271.81	295.09	248.33	228.55	270.77	248.84
Fv_L3	184.59	218.36	215.02	248.28	210.84	185.81	204.58	203.06
Fv_L4	155.44	186.76	183.07	216.19	172.83	159.92	172.66	171.60
Fv_Lss	142.53	175.14	164.09	200.13	154.40	146.81	161.08	156.00
Fv_D1	295.30	283.58	361.46	369.25	351.99	294.37	337.86	313.50
Fv_D2	311.64	306.98	378.64	389.77	371.22	313.21	362.01	331.54
Fv_D3	308.75	311.42	378.55	392.47	368.81	313.42	362.45	333.71
Fq_L1	-10.00	-5.10	-16.69	-6.50	-19.36	2.03	8.32	1.82
Fq_L2	2.55	-5.11	-4.54	1.72	-0.57	-3.67	-7.10	-7.45
Fq_L3	-0.47	2.44	4.35	5.45	4.99	0.10	-6.27	3.25
Fq_L4	-0.06	3.01	3.99	9.43	1.59	3.82	3.70	1.72
Fq_Lss	-0.26	4.28	4.26	5.29	-0.38	-5.24	5.26	-3.63
Fq_D1	283.41	267.82	344.82	353.13	333.77	281.78	321.15	297.58
Fq_D2	298.49	290.13	365.42	370.21	356.32	295.69	344.48	316.89
Fq_D3	295.91	295.91	367.23	375.12	353.02	301.02	348.66	321.59
QY_max	0.88	0.88	0.86	0.87	0.87	0.88	0.87	0.87
Fv/Fm_L1	0.86	0.87	0.84	0.85	0.84	0.86	0.86	0.86
Fv/Fm_L2	0.81	0.84	0.79	0.81	0.79	0.81	0.82	0.81
Fv/Fm_L3	0.79	0.81	0.76	0.78	0.76	0.79	0.78	0.79
Fv/Fm_L4	0.76	0.79	0.73	0.76	0.73	0.76	0.76	0.76
Fv/Fm_Lss	0.75	0.78	0.71	0.75	0.71	0.75	0.75	0.75
Fv/Fm_D1	0.85	0.84	0.83	0.83	0.83	0.84	0.85	0.84
Fv/Fm_D2	0.85	0.85	0.83	0.84	0.84	0.85	0.85	0.85
Fv/Fm_D3	0.85	0.85	0.83	0.84	0.84	0.85	0.85	0.85
QY_L1	-0.05	-0.03	-0.05	-0.02	-0.06	-0.01	0.01	-0.01
QY_L2	-0.02	-0.04	-0.04	-0.01	-0.02	-0.03	-0.03	-0.05
QY_L3	-0.04	-0.02	-0.01	-0.00	-0.01	-0.03	-0.04	-0.03
QY_L4	-0.05	-0.02	-0.02	0.01	-0.03	-0.02	-0.01	-0.03
QY_Lss	-0.04	-0.02	-0.01	-0.01	-0.05	-0.06	-0.01	-0.05
QY_D1	0.81	0.80	0.79	0.80	0.79	0.81	0.81	0.80
QY_D2	0.81	0.80	0.80	0.80	0.81	0.80	0.81	0.81
QY_D3	0.82	0.81	0.81	0.80	0.80	0.82	0.82	0.82
NPQ_L1	0.18	0.15	0.19	0.16	0.23	0.17	0.11	0.15
NPQ_L2	0.67	0.45	0.70	0.60	0.79	0.65	0.55	0.61
NPQ_L3	0.98	0.73	1.08	0.86	1.04	0.98	0.97	0.92
NPQ_L4	1.31	0.99	1.38	1.10	1.47	1.28	1.28	1.22
NPQ_Lss	1.48	1.11	1.60	1.24	1.69	1.45	1.44	1.42
NPQ_D1	0.32	0.37	0.35	0.33	0.35	0.33	0.28	0.31
NPQ_D2	0.26	0.28	0.29	0.26	0.28	0.27	0.21	0.25
NPQ_D3	0.26	0.27	0.29	0.26	0.29	0.26	0.21	0.24
qN_L1	0.14	0.12	0.16	0.14	0.19	0.13	0.09	0.12
qN_L2	0.42	0.32	0.45	0.41	0.48	0.43	0.38	0.40
qN_L3	0.53	0.45	0.57	0.51	0.56	0.53	0.54	0.52
qN_L4	0.60	0.53	0.63	0.57	0.64	0.60	0.61	0.59
qN_Lss	0.64	0.56	0.68	0.61	0.68	0.63	0.64	0.63
qN_D1	0.24	0.28	0.27	0.26	0.26	0.26	0.23	0.24
qN_D2	0.20	0.22	0.23	0.22	0.21	0.21	0.17	0.20
qN_D3	0.20	0.21	0.24	0.21	0.22	0.21	0.17	0.19
qP_L1	-0.06	-0.04	-0.06	-0.03	-0.07	-0.02	0.01	-0.01
qP_L2	-0.03	-0.05	-0.05	-0.02	-0.03	-0.05	-0.04	-0.06
qP_L3	-0.07	-0.03	-0.02	-0.01	-0.01	-0.05	-0.06	-0.05
qP_L4	-0.08	-0.04	-0.04	0.01	-0.07	-0.04	-0.02	-0.05
qP_Lss	-0.07	-0.05	-0.03	-0.02	-0.09	-0.10	-0.03	-0.08
qP_D1	0.96	0.95	0.96	0.96	0.95	0.96	0.96	0.95
qP_D2	0.96	0.94	0.97	0.95	0.96	0.95	0.95	0.96
qP_D3	0.96	0.95	0.97	0.96	0.96	0.96	0.96	0.97
qL_L1	-0.69	-0.59	-0.58	-0.32	-0.69	-0.36	-0.11	-0.29
qL_L2	-0.51	-0.59	-0.49	-0.28	-0.41	-0.60	-0.40	-0.65
qL_L3	-0.74	-0.43	-0.34	-0.24	-0.35	-0.70	-0.65	-0.60
qL_L4	-0.87	-0.57	-0.45	-0.23	-0.61	-0.57	-0.41	-0.62
qL_Lss	-0.75	-0.67	-0.40	-0.33	-0.82	-0.88	-0.39	-0.67
qL_D1	1.17	1.22	1.15	1.16	1.18	1.18	1.23	1.20
qL_D2	1.20	1.25	1.11	1.20	1.15	1.25	1.28	1.18
qL_D3	1.19	1.23	1.11	1.17	1.15	1.18	1.19	1.14
Rfd_L1	0.26	0.24	0.22	0.23	0.25	0.24	0.19	0.21
Rfd_L2	0.88	0.57	0.79	0.75	0.99	0.76	0.60	0.66
Rfd_L3	1.20	0.93	1.26	1.05	1.25	1.20	1.05	1.06
Rfd_L4	1.58	1.23	1.61	1.41	1.65	1.79	1.46	1.38
Rfd_Lss	1.78	1.39	1.90	1.48	2.12	1.68	1.75	1.53
