FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5
Size [pixels]	1374	1288	1092	576	375
Fo	79.13	87.76	62.13	45.51	44.04
Fo_gauss	79.13	87.76	62.13	45.51	44.04
Fo_median	62.99	69.92	47.95	33.34	32.74
Fm	618.67	656.01	497.99	388.31	375.71
Fv	539.54	568.25	435.86	342.80	331.66
Fp	652.34	683.91	529.97	423.74	411.75
Fp-median	591.72	615.71	483.16	373.40	362.06
Fp-gauss	799.10	836.36	663.70	559.51	544.17
Fp-average	708.91	743.95	579.01	475.47	460.25
Fm_L1	530.55	541.98	438.12	341.97	325.52
Fm_L2	396.70	364.93	298.19	262.04	215.99
Fm_L3	339.66	315.27	253.62	219.47	182.63
Fm_L4	289.26	268.63	219.46	193.31	155.95
Fm_Lss	271.74	242.80	200.31	179.67	137.23
Fm_D1	455.19	508.97	399.14	287.68	290.49
Fm_D2	481.14	527.16	412.95	315.48	307.60
Fm_D3	487.91	528.48	413.29	319.18	304.57
Ft_L1	539.65	561.49	425.47	338.64	324.36
Ft_L2	390.57	359.46	300.10	257.82	218.29
Ft_L3	328.68	307.94	254.48	213.65	179.53
Ft_L4	279.96	265.56	218.22	185.44	157.71
Ft_Lss	264.30	239.49	198.78	172.58	140.65
Ft_D1	96.41	111.10	75.32	55.97	52.86
Ft_D2	97.88	110.25	77.56	57.23	54.71
Ft_D3	98.01	108.88	78.40	57.62	55.95
Fo_L1	77.41	85.29	61.05	44.74	43.16
Fo_L2	73.58	78.96	57.00	42.82	40.10
Fo_L3	71.26	76.27	55.06	41.37	38.65
Fo_L4	68.60	73.02	53.14	40.12	36.99
Fo_Lss	67.48	70.78	51.78	39.40	35.79
Fo_D1	75.45	84.34	60.16	43.52	42.39
Fo_D2	76.14	84.89	60.49	44.18	42.83
Fo_D3	76.37	84.92	60.48	44.24	42.77
Fv_L1	453.14	456.68	377.07	297.23	282.36
Fv_L2	323.12	285.97	241.20	219.22	175.89
