FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11
Size [pixels]	1498	640	664	213	265	1232	726	946	431	664
Fo	91.65	61.32	58.08	42.74	52.19	92.34	88.70	69.35	49.17	53.22
Fo_gauss	91.65	61.32	58.08	42.74	52.19	92.34	88.70	69.35	49.17	53.22
Fo_median	76.13	48.81	44.87	29.73	39.52	76.99	72.13	55.76	36.79	40.62
Fm	706.80	504.31	491.79	389.82	437.20	708.50	678.21	568.03	426.97	459.06
Fv	615.15	442.99	433.71	347.08	385.02	616.16	589.51	498.67	377.80	405.84
Fp	736.96	543.51	508.32	394.73	460.44	736.80	708.58	599.17	443.61	488.28
Fp-median	681.57	492.86	463.38	351.91	406.58	678.68	647.00	544.63	395.02	438.57
Fp-gauss	885.58	684.70	628.65	521.73	603.26	883.62	863.44	744.96	575.89	626.35
Fp-average	793.76	595.06	553.86	442.98	514.71	792.11	768.74	655.29	492.89	539.33
Fm_L1	607.89	433.92	441.81	331.34	366.54	599.29	578.03	486.98	362.51	381.75
Fm_L2	423.12	332.47	351.17	231.75	262.88	415.88	390.66	344.41	262.81	273.89
Fm_L3	358.87	287.80	282.57	184.56	207.80	353.54	330.21	293.21	216.32	233.26
Fm_L4	304.75	252.58	242.67	162.26	180.87	303.23	289.42	250.48	193.60	201.61
Fm_Lss	282.36	237.64	218.32	147.46	163.06	275.93	260.40	232.02	177.85	185.88
Fm_D1	534.23	362.66	376.55	299.22	329.94	531.57	507.15	417.19	315.12	353.92
Fm_D2	562.07	393.17	406.39	314.68	340.10	558.43	540.59	446.41	331.93	369.77
Fm_D3	567.74	398.11	413.90	319.13	347.71	564.06	548.10	448.92	340.08	372.77
Ft_L1	619.41	441.86	427.13	333.21	380.68	613.62	590.59	501.38	351.88	387.87
Ft_L2	423.45	333.51	349.78	235.95	255.81	410.76	393.98	347.83	254.57	271.51
Ft_L3	343.96	278.08	273.01	184.88	217.01	341.14	324.20	282.30	216.77	229.21
Ft_L4	298.58	245.07	220.40	159.07	183.73	291.42	274.70	244.47	189.17	199.12
Ft_Lss	274.91	226.45	194.09	139.48	165.64	269.91	245.87	227.22	177.85	180.63
Ft_D1	110.02	73.48	69.67	46.87	61.61	111.56	108.96	85.94	58.40	65.40
Ft_D2	111.98	77.14	72.56	52.22	68.25	112.08	106.80	87.47	60.95	69.31
Ft_D3	111.76	77.45	73.16	52.25	62.65	110.68	106.60	85.01	61.75	65.38
Fo_L1	89.69	60.06	57.27	41.84	50.94	90.13	86.63	67.92	48.10	51.88
Fo_L2	84.05	57.44	55.29	39.42	48.10	84.24	80.49	63.99	45.54	48.87
Fo_L3	81.03	55.84	53.12	37.58	45.49	81.29	77.44	61.86	43.72	47.25
Fo_L4	77.72	54.22	51.37	36.44	43.98	78.15	74.91	59.60	42.64	45.61
Fo_Lss	76.13	53.48	50.13	35.62	42.61	76.10	72.45	58.41	41.78	44.55
Fo_D1	87.83	58.34	55.93	41.25	50.10	88.39	84.75	66.27	47.07	51.33
Fo_D2	88.60	59.14	56.57	41.58	50.36	89.11	85.72	67.05	47.45	51.66
Fo_D3	88.74	59.27	56.74	41.61	50.59	89.25	85.86	67.10	47.68	51.70
Fv_L1	518.20	373.86	384.54	289.50	315.60	509.15	491.40	419.06	314.41	329.87
Fv_L2	339.08	275.03	295.88	192.33	214.78	331.64	310.17	280.42	217.27	225.02
Fv_L3	277.84	231.96	229.45	146.97	162.31	272.24	252.77	231.35	172.60	186.02
Fv_L4	227.03	198.36	191.30	125.82	136.89	225.09	214.51	190.89	150.96	156.00
Fv_Lss	206.23	184.16	168.19	111.85	120.45	199.83	187.95	173.61	136.08	141.33
Fv_D1	446.41	304.32	320.62	257.97	279.84	443.18	422.41	350.91	268.05	302.59
Fv_D2	473.47	334.04	349.82	273.10	289.74	469.31	454.87	379.36	284.48	318.11
Fv_D3	479.00	338.85	357.16	277.52	297.12	474.81	462.25	381.83	292.39	321.06
Fq_L1	-11.52	-7.94	14.67	-1.87	-14.13	-14.33	-12.56	-14.40	10.63	-6.12
Fq_L2	-0.32	-1.04	1.39	-4.20	7.07	5.11	-3.32	-3.42	8.24	2.38
Fq_L3	14.90	9.72	9.56	-0.32	-9.20	12.40	6.01	10.90	-0.45	4.05
Fq_L4	6.17	7.51	22.27	3.19	-2.85	11.81	14.73	6.01	4.43	2.49
Fq_Lss	7.45	11.18	24.24	7.98	-2.58	6.03	14.53	4.80	-0.00	5.25
Fq_D1	424.22	289.18	306.88	252.35	268.32	420.00	398.19	331.24	256.72	288.52
Fq_D2	450.09	316.04	333.82	262.46	271.85	446.35	433.79	358.94	270.98	300.46
Fq_D3	455.98	320.66	340.74	266.88	285.06	453.38	441.50	363.91	278.33	307.39
QY_max	0.87	0.88	0.88	0.89	0.88	0.87	0.87	0.88	0.88	0.88
Fv/Fm_L1	0.85	0.86	0.87	0.87	0.86	0.85	0.85	0.86	0.87	0.86
Fv/Fm_L2	0.80	0.82	0.84	0.82	0.81	0.80	0.79	0.81	0.82	0.82
Fv/Fm_L3	0.77	0.80	0.81	0.79	0.77	0.77	0.76	0.79	0.79	0.79
Fv/Fm_L4	0.74	0.78	0.78	0.77	0.75	0.74	0.74	0.76	0.77	0.77
Fv/Fm_Lss	0.73	0.77	0.77	0.75	0.73	0.72	0.71	0.74	0.76	0.75
Fv/Fm_D1	0.83	0.84	0.85	0.86	0.85	0.83	0.83	0.84	0.85	0.85
Fv/Fm_D2	0.84	0.85	0.86	0.87	0.85	0.84	0.84	0.85	0.85	0.86
Fv/Fm_D3	0.84	0.85	0.86	0.87	0.85	0.84	0.84	0.85	0.86	0.86
QY_L1	-0.03	-0.04	0.02	-0.02	-0.06	-0.03	-0.03	-0.04	0.01	-0.03
QY_L2	-0.01	-0.02	-0.01	-0.05	-0.00	-0.00	-0.03	-0.03	0.00	-0.02
QY_L3	0.03	0.01	0.02	-0.05	-0.09	0.02	-0.00	0.02	-0.05	-0.01
QY_L4	-0.00	-0.00	0.06	-0.02	-0.08	0.02	0.03	-0.01	-0.03	-0.03
QY_Lss	0.01	0.02	0.09	0.00	-0.06	-0.00	0.02	-0.02	-0.05	-0.03
QY_D1	0.79	0.79	0.81	0.84	0.81	0.79	0.79	0.79	0.81	0.81
QY_D2	0.80	0.80	0.82	0.83	0.79	0.80	0.80	0.80	0.81	0.81
QY_D3	0.80	0.80	0.82	0.83	0.82	0.80	0.80	0.81	0.82	0.82
NPQ_L1	0.17	0.18	0.12	0.20	0.23	0.19	0.19	0.18	0.20	0.23
NPQ_L2	0.69	0.55	0.42	0.74	0.72	0.73	0.77	0.68	0.68	0.75
NPQ_L3	1.00	0.80	0.78	1.24	1.21	1.04	1.11	0.99	1.07	1.06
NPQ_L4	1.37	1.06	1.10	1.51	1.57	1.39	1.42	1.34	1.31	1.40
NPQ_Lss	1.57	1.19	1.32	1.79	1.85	1.64	1.74	1.54	1.53	1.65
NPQ_D1	0.34	0.42	0.33	0.34	0.37	0.35	0.38	0.39	0.39	0.33
NPQ_D2	0.27	0.31	0.23	0.27	0.33	0.28	0.29	0.30	0.32	0.27
NPQ_D3	0.26	0.29	0.21	0.25	0.30	0.27	0.27	0.29	0.29	0.26
qN_L1	0.15	0.15	0.11	0.16	0.17	0.17	0.16	0.15	0.16	0.18
qN_L2	0.45	0.38	0.32	0.44	0.44	0.46	0.47	0.44	0.42	0.44
qN_L3	0.55	0.48	0.47	0.58	0.58	0.56	0.57	0.54	0.54	0.54
qN_L4	0.64	0.55	0.56	0.64	0.65	0.64	0.64	0.62	0.60	0.62
qN_Lss	0.67	0.59	0.62	0.68	0.69	0.68	0.69	0.65	0.64	0.65
