FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	923	667	712	473	1248	1219	713	846	588	445
Fo	79.00	69.02	60.89	71.52	86.39	87.26	68.16	62.64	60.33	41.08
Fo_gauss	79.00	69.02	60.89	71.52	86.39	87.26	68.16	62.64	60.33	41.08
Fo_median	61.93	52.55	46.48	56.48	69.22	70.09	52.07	47.98	45.68	28.77
Fm	583.82	515.68	464.05	532.03	634.54	648.47	523.48	465.87	455.02	339.98
Fv	504.82	446.66	403.17	460.52	548.15	561.22	455.32	403.23	394.69	298.90
Fp	608.70	552.19	495.68	571.58	665.53	681.00	555.39	500.26	489.15	379.50
Fp-median	547.09	493.69	442.38	517.08	596.68	612.77	497.35	447.74	433.98	325.74
Fp-gauss	742.56	693.44	630.62	714.32	818.44	831.16	690.14	631.67	631.71	514.76
Fp-average	663.54	609.26	548.97	627.63	725.10	740.52	608.60	552.12	547.07	428.89
Fm_L1	534.77	474.36	422.09	454.47	538.30	561.34	478.06	416.15	398.19	297.04
Fm_L2	376.02	376.03	320.94	318.44	379.23	394.43	362.87	269.69	273.99	231.65
Fm_L3	303.09	315.38	262.31	271.71	328.52	335.91	298.74	231.97	227.50	204.03
Fm_L4	260.19	276.10	230.47	235.25	292.31	291.40	261.73	198.20	195.53	179.79
Fm_Lss	241.78	259.93	218.98	213.08	274.62	269.62	243.30	182.23	176.52	166.95
Fm_D1	478.64	406.04	364.20	429.83	480.45	487.79	419.69	386.21	361.73	263.30
Fm_D2	506.20	433.78	394.82	451.86	501.42	510.65	443.67	400.66	374.71	284.32
Fm_D3	509.35	436.02	393.51	447.27	500.69	513.24	450.64	404.33	378.83	277.63
Ft_L1	528.64	478.96	415.05	473.63	551.14	572.26	470.36	416.45	408.74	308.18
Ft_L2	388.56	377.61	319.86	320.16	372.49	395.76	363.61	280.66	281.53	234.12
Ft_L3	300.81	305.63	264.64	269.29	317.75	326.79	297.18	230.97	218.46	196.97
Ft_L4	262.14	274.40	232.05	234.04	286.69	282.33	253.77	199.46	192.54	177.64
Ft_Lss	239.43	256.79	215.12	214.10	266.61	263.46	234.47	179.36	175.35	159.21
Ft_D1	98.80	85.44	73.13	91.48	108.01	103.15	81.24	72.93	73.23	52.01
Ft_D2	97.43	88.57	74.84	89.22	107.11	103.05	84.51	73.41	72.91	53.87
Ft_D3	93.22	86.87	75.22	83.92	104.87	99.97	81.58	71.48	67.13	51.43
Fo_L1	78.00	68.23	60.08	69.88	84.31	85.41	67.29	61.63	59.11	40.30
Fo_L2	73.23	65.61	57.28	65.26	78.87	80.03	64.26	56.71	55.09	38.63
Fo_L3	69.81	63.32	54.98	62.81	76.32	77.11	61.78	54.73	52.71	37.66
Fo_L4	67.09	61.50	53.26	60.53	74.11	74.36	59.85	52.44	50.68	36.57
Fo_Lss	65.75	60.57	52.56	58.93	72.84	72.70	58.81	51.09	49.30	35.94
Fo_D1	76.61	66.53	58.65	69.25	82.65	83.21	65.90	60.88	58.19	39.54
Fo_D2	77.30	67.24	59.44	69.79	83.29	83.93	66.52	61.27	58.56	40.06
Fo_D3	77.41	67.31	59.41	69.66	83.25	83.98	66.65	61.32	58.64	39.87
Fv_L1	456.78	406.13	362.01	384.59	453.99	475.93	410.77	354.52	339.08	256.74
Fv_L2	302.79	310.42	263.66	253.18	300.36	314.40	298.61	212.98	218.90	193.02
Fv_L3	233.28	252.06	207.34	208.90	252.20	258.80	236.96	177.24	174.79	166.37
Fv_L4	193.10	214.61	177.21	174.72	218.20	217.03	201.89	145.77	144.85	143.22
Fv_Lss	176.02	199.36	166.41	154.14	201.78	196.92	184.49	131.13	127.22	131.02
Fv_D1	402.03	339.50	305.55	360.58	397.80	404.57	353.79	325.33	303.54	223.76
Fv_D2	428.90	366.54	335.39	382.07	418.13	426.72	377.15	339.39	316.15	244.26
Fv_D3	431.94	368.71	334.10	377.61	417.44	429.26	383.99	343.01	320.19	237.76
Fq_L1	6.13	-4.60	7.04	-19.16	-12.84	-10.92	7.70	-0.30	-10.55	-11.14
Fq_L2	-12.54	-1.59	1.08	-1.72	6.75	-1.33	-0.75	-10.97	-7.54	-2.47
Fq_L3	2.28	9.76	-2.33	2.41	10.77	9.12	1.56	1.00	9.04	7.06
Fq_L4	-1.95	1.71	-1.58	1.21	5.62	9.06	7.96	-1.25	2.99	2.16
Fq_Lss	2.35	3.14	3.86	-1.02	8.01	6.16	8.83	2.86	1.17	7.74
Fq_D1	379.85	320.60	291.07	338.35	372.44	384.63	338.45	313.28	288.50	211.29
Fq_D2	408.76	345.22	319.98	362.64	394.31	407.61	359.16	327.25	301.80	230.46
Fq_D3	416.13	349.15	318.30	363.36	395.82	413.27	369.06	332.85	311.70	226.20
QY_max	0.86	0.87	0.87	0.87	0.86	0.87	0.87	0.87	0.87	0.88
Fv/Fm_L1	0.85	0.86	0.86	0.85	0.84	0.85	0.86	0.85	0.85	0.86
Fv/Fm_L2	0.80	0.82	0.82	0.79	0.79	0.80	0.82	0.79	0.80	0.83
Fv/Fm_L3	0.77	0.80	0.79	0.77	0.77	0.77	0.79	0.76	0.76	0.81
Fv/Fm_L4	0.74	0.77	0.76	0.74	0.74	0.74	0.77	0.73	0.73	0.79
Fv/Fm_Lss	0.72	0.76	0.75	0.72	0.73	0.72	0.76	0.71	0.71	0.78
Fv/Fm_D1	0.84	0.84	0.84	0.84	0.83	0.82	0.84	0.84	0.84	0.85
Fv/Fm_D2	0.85	0.84	0.85	0.84	0.83	0.83	0.85	0.85	0.84	0.86
Fv/Fm_D3	0.85	0.84	0.85	0.84	0.83	0.83	0.85	0.85	0.84	0.85
QY_L1	0.00	-0.02	0.01	-0.06	-0.03	-0.03	0.01	-0.02	-0.04	-0.09
QY_L2	-0.04	-0.02	-0.01	-0.03	0.00	-0.02	-0.02	-0.07	-0.06	-0.06
QY_L3	-0.00	0.01	-0.03	-0.02	0.01	0.01	-0.01	-0.03	0.01	-0.02
QY_L4	-0.02	-0.04	-0.04	-0.04	-0.01	0.01	0.01	-0.04	-0.04	-0.06
QY_Lss	-0.01	-0.02	-0.01	-0.04	-0.00	-0.01	0.02	-0.03	-0.05	-0.04
QY_D1	0.79	0.79	0.80	0.79	0.77	0.79	0.80	0.81	0.79	0.79
QY_D2	0.81	0.80	0.81	0.80	0.79	0.80	0.81	0.81	0.80	0.81
QY_D3	0.82	0.80	0.81	0.81	0.79	0.80	0.82	0.82	0.82	0.81
NPQ_L1	0.10	0.10	0.12	0.19	0.19	0.18	0.11	0.14	0.17	0.20
NPQ_L2	0.58	0.40	0.48	0.72	0.70	0.68	0.47	0.77	0.72	0.54
NPQ_L3	0.96	0.68	0.82	1.02	0.97	0.99	0.80	1.08	1.08	0.79
NPQ_L4	1.30	0.95	1.09	1.35	1.23	1.34	1.07	1.46	1.50	1.05
NPQ_Lss	1.51	1.06	1.21	1.58	1.39	1.60	1.21	1.71	1.75	1.20
NPQ_D1	0.25	0.30	0.31	0.26	0.34	0.41	0.29	0.24	0.30	0.40
NPQ_D2	0.17	0.21	0.21	0.20	0.28	0.35	0.21	0.19	0.25	0.25
NPQ_D3	0.16	0.21	0.21	0.21	0.28	0.34	0.18	0.18	0.23	0.31
qN_L1	0.09	0.08	0.09	0.16	0.16	0.15	0.09	0.11	0.13	0.12
qN_L2	0.40	0.30	0.34	0.45	0.45	0.44	0.34	0.47	0.44	0.33
qN_L3	0.54	0.44	0.49	0.55	0.54	0.54	0.48	0.56	0.56	0.42
