FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	654	421	683	1472	1794	1259	753	967	564
Fo	63.00	34.69	56.25	79.99	74.18	76.69	82.47	83.57	58.45
Fo_gauss	63.00	34.69	56.25	79.99	74.18	76.69	82.47	83.57	58.45
Fo_median	46.75	24.13	42.53	63.36	58.08	60.51	64.06	66.56	45.14
Fm	433.23	277.49	383.78	489.60	476.93	477.20	507.33	506.32	382.73
Fv	370.23	242.80	327.53	409.62	402.75	400.51	424.85	422.75	324.28
Fp	452.42	295.81	414.11	515.73	507.94	507.23	542.43	547.31	408.44
Fp-median	399.14	253.60	363.78	461.72	453.42	454.01	483.61	491.08	363.31
Fp-gauss	576.74	410.79	545.33	647.57	639.86	640.04	685.61	683.36	529.82
Fp-average	503.55	337.24	463.67	567.44	557.63	559.84	599.56	599.61	451.31
Fm_L1	322.06	196.00	262.87	348.98	343.78	360.85	381.39	369.06	273.55
Fm_L2	188.32	122.31	160.95	226.16	208.70	227.95	220.77	216.83	168.09
Fm_L3	170.21	114.04	150.53	205.95	192.30	208.38	199.18	197.95	154.70
Fm_L4	159.15	105.35	139.05	193.80	177.76	192.49	181.67	185.21	144.69
Fm_Lss	156.87	103.71	136.02	190.74	176.16	188.88	176.80	180.21	145.00
Fm_D1	312.50	189.08	268.14	343.72	343.31	362.94	374.88	359.27	278.00
Fm_D2	356.44	221.14	309.77	404.87	397.30	405.57	422.34	416.53	317.71
Fm_D3	376.60	232.37	328.00	425.13	416.81	419.23	445.88	440.98	335.98
Ft_L1	323.92	209.14	274.49	360.67	356.46	371.49	393.22	385.71	287.28
Ft_L2	183.42	120.98	162.90	226.89	211.86	231.47	223.23	220.10	166.99
Ft_L3	155.16	101.94	147.20	201.46	186.71	204.48	195.96	192.59	148.73
Ft_L4	133.55	91.44	138.15	187.44	172.46	189.73	181.58	179.07	137.89
Ft_Lss	129.88	87.72	131.12	186.07	166.37	182.84	174.08	173.07	127.69
Ft_D1	72.08	40.61	65.83	86.23	84.87	87.70	95.88	92.03	63.81
Ft_D2	75.98	41.45	66.75	92.41	86.35	92.18	101.61	97.40	66.50
Ft_D3	77.12	40.72	67.95	92.16	86.96	89.69	93.95	98.83	65.63
Fo_L1	59.78	32.66	52.46	74.81	69.71	72.73	78.03	78.50	54.94
Fo_L2	52.30	29.21	45.90	66.54	61.09	64.67	67.40	67.62	48.22
Fo_L3	50.81	28.61	44.96	64.57	59.53	62.85	65.15	65.69	46.92
Fo_L4	49.61	27.87	43.85	63.30	58.02	61.18	63.07	64.12	45.86
Fo_Lss	49.32	27.87	43.42	62.95	57.69	60.78	62.34	63.44	45.96
Fo_D1	59.29	32.49	52.66	74.56	69.69	72.80	77.79	77.99	55.09
Fo_D2	60.88	33.46	54.26	77.22	71.82	74.48	79.76	80.59	56.62
Fo_D3	61.52	33.72	54.78	77.96	72.50	74.96	80.60	81.51	57.14
