FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5
Size [pixels]	1070	463	971	1301	809
Fo	61.43	56.68	70.80	78.08	79.84
Fo_gauss	61.43	56.68	70.80	78.08	79.84
Fo_median	46.77	41.42	55.26	64.31	63.42
Fm	511.31	476.89	558.50	617.80	599.85
Fv	449.88	420.21	487.71	539.73	520.01
Fp	549.90	503.48	595.76	651.18	631.79
Fp-median	490.84	444.01	530.80	597.20	567.84
Fp-gauss	694.10	643.54	740.05	795.62	774.87
Fp-average	607.48	562.76	650.12	704.10	686.80
Fm_L1	444.30	420.96	474.13	520.96	508.27
Fm_L2	323.89	313.94	311.71	338.66	329.11
Fm_L3	264.86	258.83	266.00	294.92	280.26
Fm_L4	225.36	227.39	231.81	262.57	249.45
Fm_Lss	205.54	213.83	212.20	245.29	228.18
Fm_D1	378.25	374.61	415.83	458.16	473.30
Fm_D2	402.22	391.36	438.22	489.67	492.73
Fm_D3	409.83	394.50	445.97	496.19	492.14
Ft_L1	456.59	431.37	484.97	528.88	519.13
Ft_L2	325.74	317.64	311.40	336.01	332.14
Ft_L3	260.38	262.27	259.23	285.40	277.10
Ft_L4	223.02	234.71	225.61	255.32	245.68
Ft_Lss	206.63	207.38	207.10	239.48	225.79
Ft_D1	77.56	72.36	86.38	99.15	102.04
Ft_D2	80.78	70.72	90.49	100.26	100.74
Ft_D3	79.77	74.09	86.44	98.08	98.09
Fo_L1	60.28	55.74	69.18	76.20	77.90
Fo_L2	57.08	53.12	64.00	70.33	71.56
Fo_L3	54.84	51.14	61.68	68.15	68.84
Fo_L4	52.81	49.73	59.47	66.18	66.69
Fo_Lss	51.55	48.90	57.85	64.91	64.92
Fo_D1	58.76	54.78	67.62	74.64	76.98
Fo_D2	59.38	55.11	68.26	75.46	77.49
Fo_D3	59.55	55.19	68.48	75.66	77.49
Fv_L1	384.01	365.22	404.94	444.75	430.37
Fv_L2	266.80	260.82	247.71	268.33	257.55
Fv_L3	210.02	207.70	204.33	226.77	211.42
Fv_L4	172.55	177.66	172.34	196.39	182.76
Fv_Lss	153.99	164.93	154.35	180.37	163.26
Fv_D1	319.48	319.82	348.21	383.52	396.31
Fv_D2	342.83	336.25	369.95	414.21	415.24
Fv_D3	350.27	339.31	377.49	420.54	414.65
Fq_L1	-12.29	-10.41	-10.85	-7.93	-10.86
Fq_L2	-1.85	-3.70	0.31	2.66	-3.03
Fq_L3	4.48	-3.43	6.77	9.51	3.15
Fq_L4	2.34	-7.32	6.20	7.25	3.77
Fq_Lss	-1.10	6.45	5.10	5.80	2.39
Fq_D1	300.69	302.25	329.45	359.01	371.26
Fq_D2	321.44	320.64	347.73	389.41	391.99
Fq_D3	330.06	320.41	359.53	398.11	394.05
QY_max	0.88	0.88	0.87	0.87	0.87
Fv/Fm_L1	0.86	0.87	0.85	0.86	0.85
Fv/Fm_L2	0.82	0.83	0.79	0.79	0.78
Fv/Fm_L3	0.79	0.80	0.76	0.77	0.75
Fv/Fm_L4	0.76	0.78	0.74	0.75	0.73
Fv/Fm_Lss	0.74	0.76	0.72	0.73	0.71
Fv/Fm_D1	0.84	0.85	0.83	0.84	0.84
Fv/Fm_D2	0.85	0.86	0.84	0.85	0.84
Fv/Fm_D3	0.85	0.86	0.84	0.85	0.84
QY_L1	-0.04	-0.03	-0.04	-0.03	-0.03
QY_L2	-0.03	-0.03	-0.02	-0.01	-0.03
QY_L3	-0.01	-0.05	-0.00	0.01	-0.01
QY_L4	-0.03	-0.07	-0.01	-0.00	-0.01
QY_Lss	-0.05	-0.01	-0.01	-0.03	-0.03
QY_D1	0.79	0.80	0.79	0.78	0.78
QY_D2	0.80	0.82	0.79	0.80	0.80
QY_D3	0.80	0.81	0.81	0.80	0.80
NPQ_L1	0.17	0.16	0.20	0.20	0.20
NPQ_L2	0.63	0.55	0.83	0.84	0.85
NPQ_L3	0.99	0.92	1.17	1.14	1.19
NPQ_L4	1.37	1.17	1.52	1.42	1.48
NPQ_Lss	1.63	1.36	1.79	1.70	1.73
NPQ_D1	0.39	0.31	0.40	0.37	0.29
NPQ_D2	0.30	0.25	0.33	0.28	0.24
NPQ_D3	0.27	0.23	0.30	0.26	0.24
qN_L1	0.14	0.13	0.16	0.17	0.16
qN_L2	0.40	0.37	0.49	0.50	0.50
qN_L3	0.53	0.51	0.58	0.58	0.59
qN_L4	0.62	0.58	0.65	0.64	0.65
qN_Lss	0.66	0.61	0.69	0.67	0.69
qN_D1	0.28	0.24	0.28	0.28	0.23
qN_D2	0.23	0.20	0.24	0.23	0.20
qN_D3	0.21	0.19	0.22	0.22	0.20
qP_L1	-0.05	-0.04	-0.05	-0.03	-0.04
qP_L2	-0.04	-0.04	-0.04	-0.02	-0.04
qP_L3	-0.02	-0.08	-0.02	-0.00	-0.02
qP_L4	-0.05	-0.10	-0.03	-0.02	-0.03
qP_Lss	-0.09	-0.03	-0.04	-0.16	-0.06
