FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4
Size [pixels]	550	477	319	477
Fo	70.68	79.61	70.61	64.56
Fo_gauss	70.68	79.61	70.61	64.56
Fo_median	52.90	60.98	51.00	47.69
Fm	565.16	607.35	544.95	513.68
Fv	494.48	527.74	474.34	449.13
Fp	595.56	637.34	570.52	544.96
Fp-median	522.76	564.33	493.59	474.77
Fp-gauss	739.63	789.46	726.84	687.55
Fp-average	652.37	699.36	636.74	603.38
Fm_L1	490.98	502.90	462.84	447.56
Fm_L2	339.60	327.41	317.18	301.30
Fm_L3	285.11	278.88	266.43	250.35
Fm_L4	244.83	234.83	228.55	220.77
Fm_Lss	224.40	210.68	205.48	196.90
Fm_D1	438.80	483.88	422.84	404.96
Fm_D2	452.57	489.66	435.87	417.74
Fm_D3	456.55	485.00	434.49	415.64
Ft_L1	494.01	522.53	471.65	455.68
Ft_L2	336.73	329.79	318.68	304.76
Ft_L3	283.36	276.37	260.63	245.69
Ft_L4	246.64	236.83	228.60	217.66
Ft_Lss	221.55	209.69	209.13	188.59
Ft_D1	89.16	104.96	88.35	82.47
Ft_D2	95.19	104.42	86.49	85.17
Ft_D3	88.74	100.05	84.93	79.19
Fo_L1	69.32	77.42	68.95	63.31
Fo_L2	64.99	71.26	64.30	59.06
Fo_L3	62.57	68.38	61.72	56.53
Fo_L4	60.30	65.29	59.26	54.74
Fo_Lss	58.81	63.18	57.50	53.11
Fo_D1	68.07	76.93	68.03	62.28
Fo_D2	68.38	77.09	68.29	62.62
Fo_D3	68.55	76.94	68.19	62.60
Fv_L1	421.66	425.48	393.89	384.25
Fv_L2	274.61	256.14	252.88	242.24
Fv_L3	222.54	210.50	204.71	193.82
Fv_L4	184.54	169.54	169.29	166.03
Fv_Lss	165.59	147.50	147.98	143.79
Fv_D1	370.73	406.95	354.81	342.68
Fv_D2	384.19	412.58	367.58	355.13
Fv_D3	388.00	408.06	366.30	353.04
Fq_L1	-3.03	-19.63	-8.81	-8.12
Fq_L2	2.86	-2.38	-1.50	-3.46
Fq_L3	1.75	2.51	5.80	4.65
Fq_L4	-1.81	-2.01	-0.05	3.10
Fq_Lss	2.85	0.99	-3.65	8.31
Fq_D1	349.64	378.92	334.49	322.49
Fq_D2	357.38	385.24	349.38	332.58
Fq_D3	367.81	384.95	349.56	336.45
QY_max	0.87	0.87	0.87	0.87
Fv/Fm_L1	0.86	0.84	0.85	0.86
Fv/Fm_L2	0.81	0.78	0.79	0.80
Fv/Fm_L3	0.78	0.75	0.76	0.77
Fv/Fm_L4	0.75	0.72	0.74	0.75
Fv/Fm_Lss	0.73	0.70	0.71	0.72
Fv/Fm_D1	0.84	0.84	0.84	0.84
Fv/Fm_D2	0.85	0.84	0.84	0.85
Fv/Fm_D3	0.85	0.84	0.84	0.85
QY_L1	-0.02	-0.06	-0.03	-0.03
QY_L2	-0.01	-0.03	-0.03	-0.03
QY_L3	-0.03	-0.01	0.00	0.00
QY_L4	-0.05	-0.04	-0.03	-0.03
QY_Lss	-0.02	-0.02	-0.07	0.00
QY_D1	0.80	0.78	0.79	0.80
QY_D2	0.78	0.79	0.80	0.79
QY_D3	0.80	0.79	0.80	0.81
NPQ_L1	0.18	0.24	0.21	0.18
NPQ_L2	0.70	0.89	0.79	0.77
NPQ_L3	1.06	1.23	1.12	1.14
NPQ_L4	1.41	1.71	1.47	1.45
NPQ_Lss	1.62	1.98	1.83	1.77
NPQ_D1	0.32	0.28	0.33	0.32
NPQ_D2	0.29	0.26	0.29	0.33
NPQ_D3	0.27	0.29	0.30	0.28
qN_L1	0.15	0.19	0.17	0.14
qN_L2	0.44	0.51	0.47	0.46
qN_L3	0.55	0.60	0.57	0.57
qN_L4	0.63	0.68	0.65	0.63
qN_Lss	0.67	0.72	0.69	0.69
qN_D1	0.25	0.22	0.25	0.24
qN_D2	0.23	0.21	0.23	0.21
qN_D3	0.22	0.22	0.23	0.22
qP_L1	-0.02	-0.08	-0.04	-0.04
qP_L2	-0.02	-0.04	-0.09	-0.04
qP_L3	-0.05	-0.03	0.00	-0.01
qP_L4	-0.09	-0.07	-0.05	-0.06
qP_Lss	-0.04	-0.05	-0.15	-0.02
qP_D1	0.95	0.93	0.95	0.94
qP_D2	0.93	0.94	0.95	0.92
qP_D3	0.95	0.94	0.96	0.96
qL_L1	-0.41	-0.71	-0.47	-0.51
qL_L2	-0.42	-0.40	-1.23	-0.70
qL_L3	-0.75	-0.40	-0.40	-0.41
qL_L4	-0.89	-0.68	-0.66	-0.79
qL_Lss	-0.53	-0.54	-1.26	-0.66
qL_D1	1.23	1.26	1.22	1.21
qL_D2	1.30	1.26	1.19	1.19
qL_D3	1.22	1.22	1.16	1.20
Rfd_L1	0.28	0.27	0.27	0.26
Rfd_L2	0.88	1.02	0.94	1.03
Rfd_L3	1.23	1.47	2.87	2.00
Rfd_L4	1.58	1.92	2.37	1.73
Rfd_Lss	2.47	2.36	2.15	2.30
