FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5
Size [pixels]	1048	1795	699	891	622
Fo	67.98	83.57	60.53	52.03	55.47
Fo_gauss	67.98	83.57	60.53	52.03	55.47
Fo_median	52.48	66.71	45.96	38.31	41.80
Fm	512.86	603.51	447.22	425.13	446.07
Fv	444.88	519.94	386.69	373.10	390.60
Fp	538.09	635.96	484.04	448.51	466.81
Fp-median	485.38	573.10	431.71	397.52	414.42
Fp-gauss	671.12	784.06	623.10	575.90	596.63
Fp-average	590.29	694.28	537.37	497.19	519.30
Fm_L1	454.47	502.27	393.53	372.40	392.82
Fm_L2	309.44	352.11	276.50	250.25	293.13
Fm_L3	253.42	282.84	224.12	197.43	226.56
Fm_L4	219.04	243.18	198.47	173.36	180.54
Fm_Lss	205.59	232.67	184.88	158.11	165.14
Fm_D1	383.39	445.57	346.40	308.44	333.51
Fm_D2	403.87	474.25	367.41	319.86	354.28
Fm_D3	404.01	485.80	370.48	323.34	355.98
Ft_L1	447.61	518.69	398.47	368.96	386.43
Ft_L2	319.07	353.41	275.65	257.72	296.96
Ft_L3	254.03	281.71	229.55	193.81	226.60
Ft_L4	214.24	240.14	197.40	161.74	180.21
Ft_Lss	195.42	226.86	185.55	146.86	158.39
Ft_D1	78.50	102.88	75.12	58.75	65.09
Ft_D2	80.00	105.43	78.04	60.19	69.06
Ft_D3	79.49	104.23	74.97	59.53	64.69
Fo_L1	66.80	81.21	59.39	51.08	54.51
Fo_L2	62.17	75.68	55.57	47.52	51.87
Fo_L3	59.41	71.66	52.85	44.93	49.10
Fo_L4	57.04	68.64	51.22	43.26	46.25
Fo_Lss	55.89	67.64	50.10	41.84	44.94
Fo_D1	64.46	79.28	58.02	48.14	52.79
Fo_D2	64.88	80.07	58.66	48.10	53.30
Fo_D3	64.71	80.42	58.70	47.69	53.30
Fv_L1	387.67	421.06	334.15	321.32	338.32
Fv_L2	247.27	276.43	220.93	202.73	241.26
Fv_L3	194.01	211.17	171.28	152.51	177.46
Fv_L4	162.01	174.54	147.25	130.10	134.29
Fv_Lss	149.70	165.03	134.77	116.27	120.20
Fv_D1	318.93	366.29	288.39	260.30	280.72
Fv_D2	338.98	394.17	308.75	271.77	300.98
Fv_D3	339.30	405.38	311.78	275.65	302.69
Fq_L1	6.86	-16.42	-4.94	3.44	6.40
Fq_L2	-9.64	-1.30	0.85	-7.47	-3.83
Fq_L3	-0.62	1.13	-5.42	3.62	-0.04
Fq_L4	4.80	3.04	1.07	11.62	0.33
Fq_Lss	10.17	5.81	-0.67	11.25	6.75
Fq_D1	304.89	342.68	271.28	249.68	268.42
Fq_D2	323.86	368.82	289.37	259.67	285.22
Fq_D3	324.53	381.57	295.51	263.81	291.30
QY_max	0.87	0.86	0.86	0.88	0.88
Fv/Fm_L1	0.85	0.84	0.85	0.86	0.86
Fv/Fm_L2	0.80	0.78	0.80	0.80	0.82
Fv/Fm_L3	0.76	0.74	0.76	0.76	0.78
Fv/Fm_L4	0.73	0.71	0.74	0.74	0.74
Fv/Fm_Lss	0.72	0.70	0.72	0.71	0.72
Fv/Fm_D1	0.82	0.82	0.83	0.81	0.83
Fv/Fm_D2	0.82	0.83	0.84	0.81	0.84
Fv/Fm_D3	0.82	0.83	0.84	0.81	0.84
QY_L1	0.00	-0.04	-0.03	-0.00	0.01
QY_L2	-0.05	-0.02	-0.03	-0.06	-0.04
QY_L3	-0.02	-0.02	-0.06	-0.02	-0.03
QY_L4	-0.00	-0.01	-0.05	0.02	-0.05
QY_Lss	0.02	-0.01	-0.07	0.01	0.00
QY_D1	0.79	0.77	0.78	0.80	0.80
QY_D2	0.80	0.78	0.78	0.74	0.80
QY_D3	0.80	0.78	0.80	0.78	0.82
NPQ_L1	0.14	0.21	0.16	0.16	0.15
NPQ_L2	0.69	0.74	0.67	0.77	0.57
NPQ_L3	1.09	1.18	1.08	1.29	1.04
NPQ_L4	1.48	1.55	1.37	1.72	1.64
NPQ_Lss	1.75	1.69	1.57	2.20	1.90
NPQ_D1	0.54	0.40	0.33	0.99	0.46
NPQ_D2	0.51	0.34	0.27	2.25	0.39
NPQ_D3	0.57	0.30	0.26	1.59	0.40
qN_L1	0.12	0.18	0.13	0.13	0.12
qN_L2	0.45	0.47	0.43	0.46	0.38
qN_L3	0.57	0.59	0.56	0.60	0.54
qN_L4	0.64	0.67	0.62	0.66	0.66
qN_Lss	0.67	0.69	0.66	0.69	0.69
qN_D1	0.29	0.29	0.25	0.30	0.27
qN_D2	0.24	0.24	0.19	0.27	0.23
qN_D3	0.24	0.22	0.19	0.26	0.22
qP_L1	0.00	-0.05	-0.05	-0.01	0.01
qP_L2	-0.07	-0.04	-0.05	-0.08	-0.05
qP_L3	-0.04	-0.03	-0.10	-0.03	-0.04
qP_L4	-0.02	-0.03	-0.10	0.00	-0.10
qP_Lss	0.00	-0.03	-0.14	-0.04	-0.02
qP_D1	0.97	0.94	0.94	1.00	0.96
qP_D2	0.98	0.94	0.94	-11.02	0.95
qP_D3	0.98	0.95	0.95	0.78	0.98
qL_L1	-0.15	-0.47	-0.69	-0.26	-0.13
qL_L2	-0.56	-0.38	-0.61	-0.77	-0.60
qL_L3	-0.46	-0.37	-0.88	-0.57	-0.64
qL_L4	-0.47	-0.38	-1.04	-0.54	-1.05
qL_Lss	-0.39	-0.42	-2.29	-0.84	-0.57
qL_D1	1.13	1.21	1.23	1.12	1.16
qL_D2	1.15	1.23	1.25	-449.73	1.19
qL_D3	1.12	1.22	1.22	-2.58	1.17
Rfd_L1	0.22	0.24	0.27	0.25	0.25
Rfd_L2	0.74	0.84	0.84	0.87	0.64
Rfd_L3	1.25	1.34	1.24	2.02	1.24
Rfd_L4	1.77	1.79	1.75	2.45	1.90
Rfd_Lss	2.39	1.98	1.89	3.10	2.86
